sample_name,uploader,upload_date,runtime_seconds,overall_job_status,host_filtering_status,nonhost_alignment_status,postprocessing_status,total_reads,nonhost_reads,nonhost_reads_percent,quality_control,compression_ratio,tissue_type,nucleotide_type,location,host_genome,notes
CHRF_DNA_0039_C_S15,,2018-04-27 19:55:34 -0700,35670.0,COMPLETE,LOADED,LOADED,LOADED,119646082,38510,0.032,61.661,1.05,,,,Human,
CHRF_DNA_0040_C_S23,,2018-04-27 19:55:34 -0700,35792.0,COMPLETE,LOADED,LOADED,LOADED,84582454,1219120,1.441,53.356,1.24,,,,Human,
CHRF_DNA_0041_C_S31,,2018-04-27 19:55:34 -0700,59967.0,COMPLETE,LOADED,LOADED,LOADED,120570978,456196,0.378,89.53,1.06,,,,Human,"Aeromonas hydrophils, Klebsiella pneumoniae"
CHRF_DNA_0042_C_S39,,2018-04-27 19:55:35 -0700,62260.0,COMPLETE,LOADED,LOADED,LOADED,62770180,804510,1.282,46.922,1.99,,,,Human,
CHRF_DNA_0043_C_S47,,2018-04-27 19:55:35 -0700,61619.0,COMPLETE,LOADED,LOADED,LOADED,46309286,1067542,2.305,59.794,5.12,,,,Human,RNA hit was e.coli (culture positive).
CHRF_DNA_0044_C_S55,,2018-04-27 19:55:35 -0700,64553.0,COMPLETE,LOADED,LOADED,LOADED,43395802,923090,2.127,54.285,1.83,,,,Human,
CHRF_DNA_0045_C_S63,,2018-04-27 19:55:35 -0700,66982.0,COMPLETE,LOADED,LOADED,LOADED,28325270,1578394,5.572,46.063,5.54,,,,Human,
CHRF_DNA_0046_C_S71,,2018-04-27 19:55:35 -0700,67850.0,COMPLETE,LOADED,LOADED,LOADED,98092340,89984,0.092,76.969,1.07,,,,Human,
CHRF_DNA_0047_C_S79,,2018-04-27 19:55:36 -0700,71550.0,COMPLETE,LOADED,LOADED,LOADED,123590162,67038,0.054,84.637,1.06,,,,Human,
CHRF_DNA_0048_C_S87,,2018-04-27 19:55:36 -0700,67948.0,COMPLETE,LOADED,LOADED,LOADED,120430150,47684,0.04,87.045,1.06,,,,Human,
CHRF_DNA_0050_C_S8,,2018-04-27 19:55:34 -0700,19133.0,COMPLETE,LOADED,LOADED,LOADED,126690670,125628,0.099,46.119,1.07,,,,Human,
CHRF_DNA_0051_C_S16,,2018-04-27 19:55:34 -0700,38246.0,COMPLETE,LOADED,LOADED,LOADED,134869014,97440,0.072,44.962,1.05,,,,Human,
CHRF_DNA_0052_C_S24,,2018-04-27 19:55:34 -0700,94136.0,COMPLETE,LOADED,LOADED,LOADED,115158572,6465322,5.614,74.507,1.05,,DNA,Bangladesh,Human,E.coli confirmed hit
CHRF_DNA_0053_C_S32,,2018-04-27 19:55:34 -0700,43020.0,COMPLETE,LOADED,LOADED,LOADED,3968804,445082,11.215,63.308,2.51,,,,Human,
CHRF_DNA_0054_C_S40,,2018-04-27 19:55:35 -0700,85861.0,COMPLETE,LOADED,LOADED,LOADED,45289306,4750346,10.489,75.614,2.87,,,,Human,
CHRF_DNA_0055_C_S48,,2018-04-27 19:55:35 -0700,1564.0,COMPLETE,LOADED,LOADED,LOADED,54975496,686044,1.248,48.828,1.79,,,,Human,
CHRF_DNA_0056_C_S56,,2018-04-27 19:55:35 -0700,67848.0,COMPLETE,LOADED,LOADED,LOADED,58187676,1288728,2.215,46.024,1.49,,,,Human,
CHRF_DNA_0057_C_S64,,2018-04-27 19:55:35 -0700,67241.0,COMPLETE,LOADED,LOADED,LOADED,14865036,1569936,10.561,67.214,4.65,,,,Human,
CHRF_DNA_0058_C_S72,,2018-04-27 19:55:35 -0700,68991.0,COMPLETE,LOADED,LOADED,LOADED,108967534,37416,0.034,86.358,1.06,,,,Human,
CHRF_DNA_0059_C_S80,,2018-04-27 19:55:36 -0700,41781.0,COMPLETE,LOADED,LOADED,LOADED,131688364,58377548,44.33,89.54,1.14,,,,Human,
CHRF_DNA_0060_C_S88,,2018-04-27 19:55:36 -0700,67637.0,COMPLETE,LOADED,LOADED,LOADED,114516480,151220,0.132,79.083,1.08,,,,Human,
CHRF_DNA_0061_C_S1,,2018-04-27 19:55:34 -0700,11796.0,COMPLETE,LOADED,LOADED,LOADED,80673212,62722,0.078,83.549,1.07,,,,Human,
CHRF_DNA_0062_C_S9,,2018-04-27 19:55:34 -0700,23149.0,COMPLETE,LOADED,LOADED,LOADED,131023402,37172,0.028,53.008,1.06,,,,Human,
CHRF_DNA_0063_C_S17,,2018-04-27 19:55:34 -0700,45072.0,COMPLETE,LOADED,LOADED,LOADED,132550730,1159890,0.875,90.328,1.06,,,,Human,Neisseria
CHRF_DNA_0064_C_S25,,2018-04-27 19:55:34 -0700,40324.0,COMPLETE,LOADED,LOADED,LOADED,79293666,166242,0.21,81.462,1.06,,DNA,Banglasdesh,Human,
CHRF_DNA_0065_C_S33,,2018-04-27 19:55:34 -0700,65188.0,COMPLETE,LOADED,LOADED,LOADED,55812396,20431874,36.608,84.291,1.15,,,,Human,
CHRF_DNA_0066_C_S41,,2018-04-27 19:55:35 -0700,1634.0,COMPLETE,LOADED,LOADED,LOADED,54027268,1440776,2.667,53.451,3.59,,,,Human,
CHRF_DNA_0067_C_S49,,2018-04-27 19:55:35 -0700,64190.0,COMPLETE,LOADED,LOADED,LOADED,65667914,893932,1.361,46.551,1.49,,,,Human,
CHRF_DNA_0068_C_S57,,2018-04-27 19:55:35 -0700,68722.0,COMPLETE,LOADED,LOADED,LOADED,64608248,1457836,2.256,39.957,4.47,,,,Human,
CHRF_DNA_0069_C_S65,,2018-04-27 19:55:35 -0700,66445.0,COMPLETE,LOADED,LOADED,LOADED,19090934,1419886,7.437,66.536,5.62,,,,Human,
CHRF_DNA_0070_C_S73,,2018-04-27 19:55:35 -0700,68230.0,COMPLETE,LOADED,LOADED,LOADED,127780018,51232,0.04,59.961,1.05,,,,Human,
CHRF_DNA_0071_C_S81,,2018-04-27 19:55:36 -0700,65867.0,COMPLETE,LOADED,LOADED,LOADED,110214214,111168,0.101,49.243,1.06,,,,Human,
CHRF_DNA_0072_C_S89,,2018-04-27 19:55:36 -0700,67466.0,COMPLETE,LOADED,LOADED,LOADED,137607952,40232,0.029,29.578,1.05,,,,Human,
CHRF_DNA_0073_C_S2,,2018-04-27 19:55:34 -0700,11913.0,COMPLETE,LOADED,LOADED,LOADED,81615186,145650,0.178,88.562,1.06,,,,Human,
